統一編號,商業名稱,商業地址,登記狀態,經度,緯度,類別
2273358,歡喜自在投注站,新北市淡水區中山北路2段10號,核准設立,121.444808,25.183381,餐館業
2274032,宇瑒小吃店,新北市蘆洲區九芎街13號,核准設立,121.468271,25.078497,餐館業
2274716,三愛蔬軒坊,新北市三峽區民生街138號,核准設立,121.372526,24.934941,餐館業
2275335,鑫汎小吃店,新北市三重區三民街285號,核准設立,121.478882,25.068406,餐館業
2289035,萬吉豆腐美食店,新北市深坑區深坑街122號,核准設立,121.613509,25.001326,餐館業
2293039,美二佳蛋糕店,新北市汐止區大同路２段３３４號,核准設立,121.656497,25.066949,餐館業
2296155,福榮月台便當號,新北市貢寮區興隆街１７號,核准設立,121.944142,25.016453,餐館業
2302017,桂花飲食店,新北市瑞芳區三爪子坑路１４號,核准設立,121.810288,25.106619,餐館業
2306323,天喜小吃店,新北市蘆洲區集賢路227號,核准設立,121.482485,25.086112,餐館業
2306631,欣疆小吃店,新北市三重區三和路4段15號,核准設立,121.491338,25.074256,餐館業
2309222,王樣輕食廚房,新北市板橋區文化路2段182巷7弄11號,核准設立,121.472261,25.027551,餐館業
2309264,旭達商行,新北市新莊區建安街74號,核准設立,121.426682,25.024489,餐館業
2331569,人人發彩券行,新北市板橋區龍興街65巷3號,核准設立,121.443291,25.001453,餐館業
2332510,紅橘子精緻早午餐國泰店,新北市板橋區國泰街122號,核准設立,121.466424,25.006445,餐館業
2332568,振華自助餐,新北市汐止區中興路78號,核准設立,121.635044,25.061865,餐館業
2334799,南華鵝肉切仔麵,新北市中和區南華路25號,核准設立,121.502884,24.995936,餐館業
2335360,芙蓉媽媽的店,新北市板橋區中山路2段90巷1號,核准設立,121.475324,25.016298,餐館業
2336375,綠冶茗茶實業社,新北市坪林區北宜路8段141號,核准設立,121.706725,24.934652,餐館業
2336488,百發百貨行,新北市永和區中興街８７號,核准設立,121.517356,25.011916,餐館業
2337677,好旺角香香鍋,新北市新莊區化成路103號,核准設立,121.465459,25.046889,餐館業
2338021,新疆界手工麵館,新北市淡水區新春街28號,核准設立,121.436939,25.181334,餐館業
2338227,壹號小吃店,新北市蘆洲區長安街1號,核准設立,121.464563,25.078681,餐館業
2338556,灣島號,新北市板橋區文昌街22號,核准設立,121.455859,25.010704,餐館業
2340167,宸恭企業社,新北市中和區連勝街24號,核准設立,121.498426,24.998096,餐館業
2340429,入食化身企業社,新北市鶯歌區國慶街115巷17號,核准設立,121.351083,24.954488,餐館業
2340639,大自然小吃店,新北市三重區重陽路4段87號,核准設立,121.492711,25.071102,餐館業
2341004,吉市牛排館,新北市三重區長元街66號,核准設立,121.500833,25.066272,餐館業
2341503,聚香園北方麵食館,新北市中和區永貞路284號,核准設立,121.513121,25.004075,餐館業
2341829,甲量食品行,新北市新店區檳榔路36巷4號,核准設立,121.541335,24.963786,餐館業
2342123,譯丹小吃店,新北市新莊區富國路70號,核准設立,121.419869,25.025977,餐館業
2342968,尚格食品行,新北市淡水區中山路25巷12號,核准設立,121.443599,25.169978,餐館業
2343235,御鼎潮州沙鍋粥,新北市永和區永貞路118號,核准設立,121.518724,25.004546,餐館業
2343283,玉媽鍋小吃店,新北市新莊區幸福路819號,核准設立,121.445434,25.048992,餐館業
2343354,茴香小吃店,新北市林口區文化三路1段589號,核准設立,121.371006,25.076883,餐館業
2351240,聖馬可複合式餐飲,新北市三重區重陽路1段43巷32號,核准設立,121.488162,25.058443,餐館業
2354696,食丼燒肉丼飯專賣店,新北市中和區立德街13之9號,核准設立,121.489577,25.006723,餐館業
2357080,伸馹小吃坊,新北市新莊區建安街2號,核准設立,121.428491,25.026935,餐館業
2357498,金龍宴席包辦,新北市淡水區崁頂37之4號,核准設立,121.439783,25.19495,餐館業
2380982,伊香保農莊,新北市三芝區新庄子113之7號,核准設立,121.516774,25.266562,餐館業
2381758,花滿蹊行,臺北市南港區研究院路2段34巷14號,核准設立,121.61434,25.046908,餐館業
2382551,麥之田企業社,新北市永和區永平路250號,核准設立,121.508551,25.011266,餐館業
2382911,禾田屋,新北市淡水區淡海路８４號,核准設立,121.423158,25.181387,餐館業
