COUNTY,TOWN,vote10,vote11,vote12,vote13,vote14,vote15,各鄉鎮市區教會個數,KMT得票率,大學畢業比例,曾經結婚比例,年齡中位數,所得中位數
嘉義縣,新港鄉,0.771955981540646,0.690770694576594,0.61724212499099,0.575625220147939,0.315309200603318,0.334957840179469,0,0.214846288427893,0.1594,0.6817,44.6019,58.5
嘉義縣,阿里山鄉,0.826473339569691,0.717473884140551,0.604640151515152,0.320691310609698,0.210500963391137,0.21078431372549,0,0.344054293301859,,,,
嘉義縣,番路鄉,0.794838470107687,0.720585440030412,0.616281255875165,0.456468826062535,0.257991299413656,0.275412351361718,0,0.341357269141847,0.145,0.7034,46.6806,53.9
屏東縣,佳冬鄉,0.772364924712135,0.676958407757081,0.622860791826309,0.569868727763465,0.324186855842591,0.338800752890562,0,0.356671495251891,0.1378,0.6795,46.1159,54.6
屏東縣,瑪家鄉,0.79174637879202,0.739644970414201,0.672199170124481,0.338377723970944,0.255862273671713,0.259970457902511,0,0.50321199143469,0.1019,0.6425,38.7727,58.3
屏東縣,屏東市,0.741127944973835,0.68645584725537,0.618291220951678,0.464878497665383,0.312534196342301,0.341911893144527,13,0.439572953736655,0.2684,0.6363,42,61.3
屏東縣,高樹鄉,0.753604193971166,0.667439282475058,0.592668232410906,0.575643321707984,0.320234113712375,0.340180255711591,2,0.327116386096645,0.1118,0.7027,48.9268,51.4
屏東縣,竹田鄉,0.771179250999879,0.675532555060778,0.61396429444852,0.541148608644168,0.309460317460317,0.394362683961088,0,0.347287887905098,0.1713,0.6755,47,57.6
屏東縣,鹽埔鄉,0.768113310332304,0.676097207109177,0.598495402619114,0.504713560551124,0.30316826163709,0.320141870449879,0,0.388454706927176,0.1455,0.6629,42.5909,53.4
屏東縣,南州鄉,0.757362090418913,0.673699914748508,0.589270568278202,0.560625,0.349122807017544,0.356466181978409,0,0.411316648531012,0.1557,0.6776,46.05,56.8
屏東縣,林邊鄉,0.783382425135002,0.704562178072112,0.631159597940672,0.572655690765927,0.298274549606699,0.350990853658537,0,0.37306052855925,0.1524,0.6814,45,55.5
屏東縣,崁頂鄉,0.745020576131687,0.677924217462932,0.610740493662442,0.546623794212219,0.324582338902148,0.342575267902705,0,0.371109061563293,0.1641,0.6539,39.1694,54.4
屏東縣,車城鄉,0.748838752488387,0.64136302294197,0.572295247724975,0.554093097913323,0.335994446372787,0.356145251396648,0,0.322150072150072,0.104,0.6773,47,53.2
屏東縣,滿州鄉,0.764785859959211,0.662646450723639,0.569000679809653,0.498356344510191,0.309166957127919,0.336685159500694,0,0.363139683117829,0.0951,0.6733,46.0776,52.4
屏東縣,春日鄉,0.759598346131128,0.673951565268754,0.644117647058824,0.372132540356839,0.325056433408578,0.334092634776006,0,0.540616246498599,0.0735,0.651,36.8636,55.5
屏東縣,枋山鄉,0.774534686971235,0.686174724342663,0.615811965811966,0.543310288735258,0.303111111111111,0.311453744493392,0,0.343246592317224,0.0893,0.6871,45,51.8
屏東縣,新園鄉,0.762748859051525,0.682342032057226,0.610858821958061,0.568343911535693,0.300040905372239,0.328191416426711,0,0.375252710898732,0.1492,0.6596,42,54.5
屏東縣,霧臺鄉,0.78498609823911,0.748161764705882,0.72089825847846,0.300946372239748,0.242815249266862,0.254556143445032,0,0.442398119122257,0.1203,0.6586,42.2391,57.6
屏東縣,三地門鄉,0.777952755905512,0.713153724247227,0.664118112312154,0.358712472918601,0.275801234930903,0.29263220439691,0,0.543559894855426,,,,
屏東縣,泰武鄉,0.792555113841706,0.715532921062204,0.639927404718693,0.325019794140934,0.244668476153548,0.267406273909717,0,0.455488803932277,0.0814,0.6635,37,58.4
屏東縣,牡丹鄉,0.745924676784711,0.684567552289429,0.583426651735722,0.363848396501458,0.30586186883343,0.333919156414763,8,0.530380125710865,0.1127,0.6708,41,59
屏東縣,獅子鄉,0.825849277625927,0.759106933019976,0.708040593286495,0.281960586154624,0.235267245317497,0.240825688073395,1,0.618510158013544,0.0747,0.6803,40,61.2
屏東縣,來義鄉,0.804789752158173,0.740782122905028,0.681767023072594,0.265703332350339,0.226436781609195,0.237503611672927,25,0.543071921982934,0.0902,0.6597,39.8889,54
